display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
60,110521,14:44:46,6128,1,692166,win,1,25pct,0.75,0.85,0.9,0.9,0.9,0.8,0.95,0.9,0.95,0.9,1,0.9,1
60,110821,14:18:12,4129,4,706820,win,1,31pct,0.85,0.95,0.85,0.95,0.9,0.95,0.9,1,0.95,1,1,1,0.95
60,110821,14:19:48,4127,5,723659,win,1,26pct,0.5,0.85,0.8,0.9,0.8,0.9,0.8,0.95,1,1,1,0.9,0.95
59,110821,14:29:02,5130,6,646488,win,1,24pct,0.8,0.85,0.8,0.9,0.95,0.95,1,0.95,0.9,0.95,0.95,1,0.95
60,110821,14:35:03,3131,1,641670,win,1,26pct,0.6,0.7,0.65,0.6,0.8,0.65,0.6,0.7,0.8,0.75,0.9,0.8,0.75
75,110821,14:35:22,4132,2,676209,win,1,26pct,0.6,0.8,0.75,1,0.85,0.9,1,1,1,1,1,1,1
60,110921,14:09:26,4133,4,675703,win,1,26pct,0.8,0.9,0.95,0.85,1,0.95,0.95,0.95,1,1,1,1,1
60,110921,14:31:31,1134,5,748752,win,1,20pct,0.85,0.85,0.9,0.75,0.8,0.8,0.8,0.85,0.85,0.95,0.75,0.85,0.95
60,111021,14:18:53,5135,6,693075,win,1,19pct,0.7,0.9,0.9,0.85,1,1,1,1,1,1,1,1,1
59,111021,14:39:04,6137,1,680621,win,1,23pct,0.6,0.8,0.9,0.75,0.95,0.95,0.95,0.95,0.95,1,1,0.95,1
60,111021,14:41:32,3136,2,842563,win,1,18pct,0.85,0.9,0.9,0.9,0.95,1,0.95,1,1,1,1,1,1
75,111021,14:45:38,6138,4,692846,win,1,40pct,0.8,1,1,0.95,1,1,0.95,0.95,1,1,0.95,0.95,1
60,111121,14:28:15,2139,5,717968,win,1,11pct,0.7,0.9,0.95,0.9,1,1,1,1,1,1,1,1,1
60,111121,14:47:41,3140,6,631974,win,1,26pct,0.75,0.8,0.95,0.8,0.75,0.95,0.85,0.95,0.75,0.95,0.85,0.9,0.85
60,111221,14:14:22,5142,2,722785,win,1,16pct,0.5,0.7,0.75,0.65,0.8,0.8,0.8,0.75,0.9,0.95,0.9,0.95,0.95
60,111221,14:28:22,6414,3,845945,win,1,26pct,0.55,0.6,0.65,0.85,0.85,0.95,1,1,1,1,1,1,1
75,111221,14:43:03,5143,4,699844,win,1,21pct,0.4,0.9,0.9,1,1,1,1,1,1,1,1,1,1
60,111521,14:07:40,5145,6,618956,win,1,25pct,0.45,1,1,1,1,1,1,1,0.95,1,0.95,1,1
60,111521,14:07:25,5144,5,853149,win,1,20pct,0.7,0.75,0.75,0.8,1,0.95,1,0.9,0.95,1,1,1,1
60,111721,14:09:17,1146,4,1116479,win,1,25pct,0.75,0.95,0.85,0.9,1,1,1,1,1,1,1,1,1
60,111721,14:22:16,2147,5,706812,win,1,26pct,0.8,0.9,1,0.95,1,0.95,1,1,1,1,0.85,0.9,0.95
75,111721,14:27:21,5148,6,889428,win,1,21pct,0.7,0.8,0.6,0.9,0.9,1,1,1,1,1,1,1,1
60,111721,14:49:15,6150,1,627715,win,1,34pct,0.95,1,0.95,1,1,1,1,1,1,1,1,1,1
59,111721,14:49:04,3149,2,679301,win,1,41pct,0.85,0.85,0.85,0.9,1,0.95,0.95,1,0.9,1,1,0.95,1
60,111821,14:06:31,5151,3,722141,win,1,26pct,0.6,0.6,0.6,0.6,0.8,0.6,0.9,0.85,0.75,0.9,0.8,0.95,0.8
60,111821,14:20:01,1152,4,672904,win,1,24pct,0.8,0.9,0.8,0.85,0.85,1,0.95,1,0.95,1,1,1,0.95
59,111821,14:22:17,5154,6,642347,win,1,26pct,0.95,0.85,1,1,1,1,1,1,1,1,1,1,1
60,111821,14:17:56,6153,5,933122,win,1,32pct,0.75,1,0.95,1,0.85,1,1,1,0.95,0.95,1,1,1
75,111821,14:48:00,3155,1,700844,win,1,25pct,0.4,0.6,0.5,0.65,0.85,0.75,0.8,0.7,0.8,0.75,0.65,0.9,0.8
60,111821,14:49:00,2156,2,666574,win,1,26pct,0.65,0.8,0.65,0.8,1,0.85,0.85,0.9,0.95,0.9,0.9,0.95,0.9
60,111921,14:05:15,6158,4,612747,win,1,17pct,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1
60,111921,14:08:09,3157,5,631625,win,1,26pct,0.55,0.5,0.6,0.65,0.3,0.7,0.5,0.4,0.35,0.25,0.3,0.55,0.35
59,111921,14:40:16,3159,6,778708,win,1,20pct,0.75,0.8,1,0.9,1,0.95,1,1,1,1,1,1,1
60,111921,14:41:33,4160,1,848276,win,1,18pct,0.6,1,0.75,0.9,0.95,1,0.9,1,0.95,0.9,0.95,1,0.95
60,112221,14:07:27,2161,3,616434,win,1,20pct,0.85,1,1,1,0.95,0.9,1,0.9,0.95,0.95,0.95,1,1
60,112221,14:11:38,4162,4,653903,win,1,18pct,0.6,0.9,0.9,0.95,0.95,1,1,0.95,0.95,0.95,1,1,1
75,112221,14:30:26,2163,5,671515,win,1,18pct,0.75,1,0.95,1,1,1,1,1,1,1,1,1,1
59,112221,14:31:40,5164,6,668453,win,1,16pct,0.65,0.85,1,1,1,0.95,1,1,1,1,1,1,1
60,112321,14:14:17,1166,1,696994,win,1,26pct,0.55,0.8,0.9,0.75,1,0.95,1,1,1,1,0.95,1,1
60,112321,14:17:58,4165,2,708897,win,1,26pct,0.55,0.9,0.7,0.85,0.95,0.85,0.9,0.85,1,0.95,0.95,0.95,1
60,112421,14:09:44,2167,4,758905,win,1,22pct,0.95,1,1,1,1,1,0.95,1,1,1,0.95,1,1
60,112521,14:32:52,5169,5,675408,win,1,26pct,0.8,0.9,0.95,1,1,0.9,1,1,1,1,1,1,1
60,112521,14:34:40,3168,6,672296,win,1,24pct,0.6,0.95,0.95,0.9,1,1,1,0.95,1,1,0.95,1,0.95
60,112621,14:13:42,6171,1,681325,win,1,20pct,0.55,0.7,0.7,0.95,0.95,1,0.95,0.95,1,0.95,0.95,1,0.95
60,112621,14:16:32,3170,2,840062,win,1,20pct,0.65,0.9,0.9,0.95,0.95,0.95,1,1,1,1,1,1,0.95
60,112921,14:08:28,3172,3,772490,win,1,36pct,0.3,0.35,0.75,0.55,0.8,0.55,0.5,0.45,0.3,0.6,0.65,0.3,0.7
60,113021,14:20:20,4173,4,650131,win,1,23pct,0.55,0.85,0.95,0.8,0.7,0.95,0.8,0.9,0.9,0.8,1,0.95,0.95
60,113021,15:04:39,5174,5,699318,win,1,26pct,0.8,0.95,1,1,0.95,0.95,1,1,1,0.95,1,1,1
60,120121,14:15:32,3175,6,697682,win,1,28pct,0.7,0.85,1,0.8,1,1,1,1,1,1,1,1,1
60,120121,14:39:04,6176,1,655907,win,1,18pct,0.75,0.9,0.95,0.9,0.9,0.9,0.95,1,0.95,1,0.9,0.95,1
60,120221,14:26:31,2177,2,604761,win,1,25pct,0.75,0.9,0.8,0.9,0.95,0.95,0.85,0.9,1,0.95,1,0.95,0.95
60,120221,15:31:11,2178,3,709487,win,1,14pct,0.7,0.9,1,1,0.95,0.95,1,1,0.95,1,1,1,1
60,120621,14:13:00,4179,5,691653,win,1,25pct,0.55,0.95,0.95,0.9,0.95,1,1,1,1,0.95,1,0.95,0.95
60,120621,14:13:10,6180,4,729116,win,1,18pct,0.85,1,0.95,1,1,1,1,1,1,1,1,1,1
60,120721,14:00:06,3181,6,629882,win,1,20pct,0.65,0.9,0.9,1,1,1,1,0.95,1,1,1,1,1
60,120721,14:41:06,4182,1,810187,win,1,26pct,0.9,0.95,0.95,0.95,1,0.9,0.95,1,0.95,1,0.95,1,1
59,120721,15:02:03,5183,2,792125,win,1,20pct,0.9,0.7,0.95,1,1,1,1,0.95,0.95,1,0.95,1,1
60,120821,14:09:42,3185,4,680574,win,1,26pct,0.8,1,0.8,0.8,0.85,0.95,0.9,1,0.95,1,0.95,1,1
60,120821,14:09:47,6184,3,723569,win,1,28pct,0.65,0.7,0.75,0.6,0.85,0.8,0.8,0.9,0.8,0.75,0.75,0.9,0.9
60,121021,14:18:55,4186,5,883535,win,1,20pct,0.6,0.9,0.95,0.9,0.9,1,0.95,0.85,1,1,0.95,1,1
60,121021,14:27:19,5187,6,680463,win,1,23pct,0.6,0.6,0.35,0.5,0.45,0.65,0.55,0.7,0.65,0.65,0.45,0.6,0.65
60,121021,14:28:21,6188,1,668039,win,1,18pct,0.85,0.85,0.9,0.95,1,1,0.95,1,0.95,0.95,1,1,1
75,121021,14:34:44,3189,2,708154,win,1,31pct,0.75,0.8,0.75,0.85,0.8,0.9,0.95,1,0.95,0.95,0.95,1,1
